547.75	5.9117e-28
548.59	6.2645e-28
548.71	4.5265e-27
549.15	6.5988e-27
549.17	1.0092e-27
549.2	1.1068e-28
549.57	2.7909e-27
549.6	0.29129
549.65	1.1719e-26
549.95	3.3238e-27
550.04	3.2773e-28
550.33	1.8127e-27
550.39	0.26984
550.52	4.1833e-24
550.53	0.27361
550.97	0.25806
550.99	0.26445
551	0.23153
551.26	2.4115e-27
551.31	6.279e-27
551.33	0.20334
551.41	0.32706
551.61	5.0238e-27
551.72	0.30544
551.78	0.23996
551.82	2.5839e-28
552.15	0.24261
552.2	8.2681e-28
552.2	0.27763
552.24	6.0745e-28
552.5	1.054e-26
553.02	0.27865
553.1	0.28344
553.41	1.2729e-25
553.43	0.26105
553.64	0.27414
554	0.27596
554.04	0.28719
554.28	0.26907
555.06	0.23916
556.39	2.0442e-27
556.71	5.2115e-28
556.74	0.0031741
557.23	6.0903e-28
557.4	0.14153
557.49	6.0136e-28
557.86	9.4163e-28
557.93	0.003914
557.98	0.064146
557.99	3.6081e-27
558.15	1.8701e-25
558.2	0.12767
558.2	0.0077167
558.36	7.7237e-28
558.4	1.3245e-25
558.43	4.7857e-27
558.45	0.0055999
558.59	3.7129e-27
558.68	7.3545e-27
558.91	3.4837e-26
558.94	0.15657
558.95	0.0036313
559	9.9894e-26
559.07	2.129e-27
559.12	0.019262
559.15	2.5635e-25
559.19	0.0046463
559.26	4.9831e-27
559.26	0.14453
559.33	0.0024242
559.35	8.0298e-28
559.38	0.10688
559.44	0.13317
559.44	1.7677e-20
559.49	8.5204e-26
559.49	0.058433
559.52	0.003255
559.53	4.3275e-24
559.61	4.7013e-26
559.64	0.0029548
559.66	0.034548
559.69	0.10622
559.74	2.765e-27
559.76	0.00090268
559.9	1.8665e-24
559.9	0.00019507
559.92	6.1154e-26
560	0.016163
560	0.11878
560.11	3.2461e-25
560.2	5.4923e-26
560.21	0.020813
560.26	0.0082791
560.31	0.12736
560.32	1.8373e-26
560.34	0.0033771
560.53	8.1168e-26
560.55	8.697e-27
560.55	0.0046846
560.56	0.0015377
560.6	5.208e-26
560.63	5.4083e-27
560.66	0.0034548
560.69	5.3865e-25
560.7	0.012099
560.72	2.8283e-26
